cda00a001219r,cda00a001319r,cda00a001s19r,cda00ar01219r,cda00ar01319r,cda00ar01s19r,CAMPUSID
46,25,75,45,27,73,015915149
50,28,81,48,29,80,015915150
59,33,88,55,32,85,015915151
74,47,92,74,51,92,015915152
41,21,72,43,24,76,015915156
47,23,80,52,24,83,015915157
36,18,69,40,21,72,015915158
39,16,73,41,18,76,015915160
59,35,88,59,33,89,015915161
31,12,68,29,13,67,015915162
57,32,87,58,33,89,015915165
66,37,89,58,33,87,015915166
62,36,86,61,34,85,015915167
50,25,84,51,26,86,015915168
41,20,74,40,21,75,015915169
52,26,85,56,31,88,015915170
42,20,77,40,20,79,015915171
38,18,71,39,19,73,015915177
66,41,89,70,46,92,015915178
56,33,82,56,31,85,015915179
72,44,94,74,48,95,015915180
72,49,91,73,49,94,015915181
40,18,79,38,19,78,015915182
51,26,83,52,28,84,015915183
41,18,73,42,21,77,015915184
37,16,68,37,17,72,015915185
61,36,90,64,39,93,015915186
56,29,86,59,30,88,015915187
50,28,79,52,31,82,015915188
26,8,63,23,8,63,015915189
61,31,87,59,27,90,015915191
42,18,77,41,18,77,015915192
58,30,87,58,33,88,015915193
58,34,85,56,33,89,015915195
56,30,87,58,31,91,015915198
56,31,85,54,30,85,015915223
41,21,76,42,22,79,015915224
51,23,81,57,26,83,015915225
54,31,82,52,30,81,015915226
51,27,83,50,27,84,015915227
62,39,87,63,38,88,015915228
77,51,96,82,55,98,015915230
57,32,87,61,35,89,015915234
70,43,90,71,51,93,015915236
47,13,74,42,6,64,015916001
29,14,48,11,0,22,015916003
,,,,,,015916005
,,,,,,015916006
50,17,75,41,6,65,015916008
93,50,100,92,30,99,015916009
55,17,80,49,6,72,015916010
25,8,59,24,9,60,015916041
49,21,80,44,21,77,015916042
38,15,71,35,15,66,015916043
28,9,62,30,12,61,015916044
43,20,77,43,21,75,015916045
30,12,67,33,15,72,015916101
35,15,69,32,16,69,015916102
37,15,70,40,17,72,015916103
45,20,80,50,27,82,015916104
30,11,69,32,14,78,015916105
70,37,93,68,37,94,015916106
41,19,74,43,24,78,015916107
49,26,79,49,28,83,015916109
37,18,66,35,18,67,015916110
51,21,83,48,22,85,015916111
27,11,58,28,12,63,015916112
42,19,75,41,20,75,015916113
34,15,69,37,16,73,015916114
36,16,72,35,17,74,015916115
48,24,82,46,24,83,015916116
41,18,81,44,23,85,015916117
56,31,86,55,31,85,015916118
48,25,76,47,27,78,015916119
39,15,76,40,17,77,015916123
67,39,93,69,50,96,015916124
38,9,65,30,2,51,015917001
28,11,60,32,12,64,015917041
27,9,62,27,11,67,015917102
25,7,58,24,8,50,015917103
27,11,59,22,10,60,015917104
30,13,61,30,13,66,015917105
24,9,52,28,11,59,015917106
58,17,81,49,5,70,016901001
58,31,85,51,28,86,016901041
51,25,80,50,31,81,016901101
62,23,82,56,9,73,016902001
52,22,86,53,28,87,016902041
53,27,85,60,30,89,016902101
65,30,93,72,36,91,017901001
53,20,82,47,11,70,018901001
49,25,77,47,26,77,018901041
39,19,72,43,21,76,018901101
37,14,73,47,17,75,018902001
46,21,82,43,18,79,018902101
36,10,59,31,5,60,018903001
59,17,82,45,6,70,018904001
39,13,75,38,14,71,018904041
50,25,84,50,28,87,018904101
35,10,67,32,8,65,018905003
41,16,77,35,20,80,018906001
27,8,65,26,4,67,018907001
32,15,63,34,12,62,018908001
47,15,74,43,3,62,019901001
34,15,65,37,20,66,019901041
30,9,69,34,10,70,019901102
58,21,79,53,6,70,019902002
46,18,84,48,22,85,019902041
58,31,88,53,27,88,019902102
44,16,78,44,14,74,019903001
43,12,73,37,3,61,019905001
35,12,71,40,18,72,019905041
39,18,73,41,19,75,019905101
67,29,86,53,9,77,019906001
62,24,90,62,30,88,019906041
47,23,81,44,23,80,019906101
44,19,80,42,19,77,019906102
51,19,76,46,10,65,019907002
9,1,38,4,0,22,019907003
42,19,72,43,21,72,019907042
31,11,73,34,13,76,019907105
32,8,68,29,8,68,019907108
45,24,83,47,27,85,019907109
30,13,72,27,14,69,019907111
47,22,82,48,22,82,019907113
87,60,99,83,54,99,019907116
40,18,81,40,20,81,019907117
36,9,69,34,4,60,019908001
31,11,65,34,15,66,019908041
23,10,50,23,11,49,019908103
44,15,77,42,11,66,019909001
40,19,75,39,21,72,019909041
51,24,83,47,25,83,019909101
68,31,93,68,32,93,019910101
76,45,94,72,45,95,019911041
75,44,94,75,48,94,019911101
61,20,87,65,13,85,019912001
56,26,87,56,29,86,019912041
66,41,90,64,40,91,019912200
22,4,74,27,9,80,019913101
33,8,65,40,14,69,019914101
50,15,75,41,3,63,020901001
56,19,79,46,5,66,020901002
35,12,67,23,2,53,020901005
64,27,84,63,16,79,020901006
43,20,73,42,21,71,020901041
46,23,77,48,25,79,020901042
33,12,70,34,13,70,020901043
60,37,84,61,39,84,020901045
37,13,71,38,16,71,020901046
38,16,71,40,19,71,020901047
60,32,86,62,36,87,020901048
36,16,72,38,19,75,020901101
39,17,75,43,20,78,020901103
39,19,70,39,18,71,020901104
41,18,73,40,19,75,020901105
53,27,85,49,25,87,020901107
43,20,75,43,21,74,020901108
51,23,84,41,21,79,020901109
48,23,82,45,23,78,020901110
66,42,90,64,41,90,020901111
72,48,93,73,50,94,020901112
45,21,79,46,23,79,020901113
71,45,91,70,44,92,020901114
60,32,87,57,32,88,020901115
46,21,78,43,20,77,020901116
65,41,88,65,43,89,020901117
53,30,81,51,31,82,020901118
53,19,75,45,5,64,020902001
,,,,,,020902004
41,15,75,42,19,75,020902044
